"Indicator Category","Indicator Code","Indicator","Reporting Economy Code","Reporting Economy ISO3A Code","Reporting Economy","Partner Economy Code","Partner Economy ISO3A Code","Partner Economy","Product/Sector Classification Code","Product/Sector Classification","Product/Sector Code","Product/Sector","Period Code","Period","Frequency Code","Frequency","Unit Code","Unit","Year","Value Flag Code","Value Flag","Text Value","Value"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","051","ARM","Armenia","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2015","","","","6.09"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","051","ARM","Armenia","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2016","","","","6.23"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","051","ARM","Armenia","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2017","","","","5.95"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","051","ARM","Armenia","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2018","","","","6.5"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","051","ARM","Armenia","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2019","","","","6.25"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","051","ARM","Armenia","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2021","","","","6.35"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","051","ARM","Armenia","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2022","","","","6.32298758978416"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","051","ARM","Armenia","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2023","","","","6.33727125116312"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","051","ARM","Armenia","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2024","","","","6.37018955897887"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","052","BRB","Barbados","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2021","","","","11.72"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","052","BRB","Barbados","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2022","","","","13.9197872440589"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","064","BTN","Bhutan","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2015","","","","22.29"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","064","BTN","Bhutan","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2019","","","","22.11"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","064","BTN","Bhutan","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2021","","","","9.73"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","064","BTN","Bhutan","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2022","","","","9.7900348701901"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","064","BTN","Bhutan","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2023","","","","9.33784827422325"
"MFN applied tariffs","TP_A_0010","Simple average MFN applied tariff - all products","064","BTN","Bhutan","-","","-","-","-","-","-","A","Annual","A","Annual","PCT","Percent","2024","","","","9.33250163369572"
